identifier,path,gcp_file_id,folder_name,author_subject,type,Years,gcp_folder_id,file_name,ocr_writen_on,ocr_writen_by,ocr_main_content,ocr_additional_content,ocr_writen_on_coords,ocr_writen_by_coords,ocr_main_content_coords,ocr_additional_content_coords,paragraphs_detection_successes,ocr_all_text_preprocess,ocr_all_text_no_preprocess,ocr_main_content_all_text_preprocess,ocr_main_content_all_text_no_preprocess,years,gcp_image_link,gcp_folder_link,is_handwritten
IDGNAZIM0001,"\CD00085 גורי, חיים - גורי, חיים\2266.tif",1ASOIID456UbRActNY4dcTHyuq0vcow-z,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2266.tif,]ערה,7;,]ערה7;,"\י (-
","1016,690 1227,690 1016,819 1227,819","1016,690 1227,690 1016,819 1227,819","1016,690 1227,690 1016,819 1227,819","485,696 550,696 485,812 550,812",TRUE,"סי | כב // / ָ 9 ה [ערה, ס.ל, / ",," ָ 9 ה [ערה, ס.ל, / ",,,https://drive.google.com/file/d/1ASOIID456UbRActNY4dcTHyuq0vcow-z,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0002,"\CD00085 גורי, חיים - גורי, חיים\2277.tif",10GB_ugUJSVRfVZFXvLpiOCH9dK6l2-1S,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2277.tif,"גורי,חיים, עוזר יוסף",הנה מוסלות טליתותינו,"גורי,חיים, עוזר יוסףהנה מוסלות טליתותינויוסף עוזר משורר סחזר בתצטובר, בטיחוהת מפגלצ עםחייס גוריאפיריון,ג""79!6! הורף1990.1959 עמ9-7",,"0,0 1222,0 0,735 1222,735","0,0 1222,0 0,735 1222,735","0,0 1222,0 0,735 1222,735",,TRUE,"גורי,חיים, עוזר יוסף הנה מוסלות טליתותינו יוסף עוזר משורר סחזר בתצטובר, בטיחוהת מפגלצ עם חייס גורי אפיריון,ג""79!6! הורף1990.1959 עמ9-7 ","גורי,תיים 0 , עוזר יוסף הנח מוטלות טליתותינו יוסף עוזר משורר שחזר בתשובה בשיחות מפגש עם חיים גורי אפיריון,גל6!+17 חורף1990.1989 עמ-9 ","ו יוסף עוזר משורר סחזר בתצטובר, בטיחוהת מפגלצ עם חייס גורי אפיריון,ג""79!6! הורף1990.1959 עמ9-7 ","תינו יוסף עוזר משורר שחזר בתשובה בשיחות מפגש עם חיים גורי אפיריון,גל6!+17 חורף1990.1989 עמ-9 ",,https://drive.google.com/file/d/10GB_ugUJSVRfVZFXvLpiOCH9dK6l2-1S,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0003,"\CD00085 גורי, חיים - גורי, חיים\2253.tif",1b-fyZK6WC0_FRQSWw2DmHnQQB4L0aHZ3,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2253.tif,-,,3 א | ₪2ת)שת |4 א א,"8%]ר, הו כ
","996,678 1181,678 996,812 1181,812",,"464,231 884,231 464,538 884,538","298,17 1204,17 298,162 1204,162",TRUE,"%]ר, הו כ 3 א | ₪2 0 ת)שת | 4 א ג = תאו [ - , אפו 2\.\2.55 פּ 1 / / / ","%!ר, / 27 ז 3 ₪9 2 7 ץ . גי \ תאו [ -. 5 וע ",,,,https://drive.google.com/file/d/1b-fyZK6WC0_FRQSWw2DmHnQQB4L0aHZ3,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,1
IDGNAZIM0004,"\CD00085 גורי, חיים - גורי, חיים\2264.tif",1WLWQ1PZ0zDlKsy6ULhPqmos_lo0qFoGK,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2264.tif,ים,"גורי, חיי","יםגורי, חיי","החוסך""
","836,60 1116,60 836,124 1116,124","836,60 1116,60 836,124 1116,124","836,60 1116,60 836,124 1116,124","571,285 743,285 571,343 743,343",TRUE,"גורי, חיים תקוות ""אנסי התושך"" שחלפה לפרתחב, 20.4.1956, עס' 2 ","תקופת ""אנטי התוטך"" שחלפה למרחתחב, 80.4.1956, עמ' 8 ","אנסי התושך"" שחלפה לפרתחב, 20.4.1956, עס' 2 "," שחלפה למרחתחב, 80.4.1956, עמ' 8 ",,https://drive.google.com/file/d/1WLWQ1PZ0zDlKsy6ULhPqmos_lo0qFoGK,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0005,"\CD00085 גורי, חיים - גורי, חיים\2272.tif",1mukseIvdGHRIHT0sa0Kl1y6eL1EVBYc3,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2272.tif,"גורי, חיים",1-0 ------,"תס""ת - תשט""ז(פה אומרים?)","לפרחב, 16.4.1956, עם' 2
","811,0 1142,0 811,88 1142,88","811,0 1142,0 811,88 1142,88","608,201 988,201 608,348 988,348","131,527 778,527 131,614 778,614",TRUE,"גורי, חיים תס""תח - תסט""ז 5 7 (פה אומרים?) חתום הג ) / לפרחב, 16.4.1956, עם' 2 ","גורי, חיים תטש""ח - תשט""צך (מה אומרים?) חתום ג למרהב, 16.4,1956, עמ' 2 ","ום הג ) / לפרחב, 16.4.1956, עם' 2 ","ג למרהב, 16.4,1956, עמ' 2 ",,https://drive.google.com/file/d/1mukseIvdGHRIHT0sa0Kl1y6eL1EVBYc3,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0006,"\CD00085 גורי, חיים - גורי, חיים\2262.tif",1aPQ0oKwooEPbFdXtZfMbsixjTJtNaQfO,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2262.tif,גורי.בסחיים,,גורי.בסחיים,"דבר.כב
","921,9 1165,9 921,66 1165,66",,"921,9 1165,9 921,66 1165,66","999,505 1162,505 999,551 1162,551",TRUE,גורי.בסחיים ההפהיד רנוער לי ,גורי.חיים - התפקיד ‏ שנועד לי דבר.כב טבת תשמז25.1.1987עמ 16 , רנוער לי , ‏ שנועד לי דבר.כב טבת תשמז25.1.1987עמ 16 ,,https://drive.google.com/file/d/1aPQ0oKwooEPbFdXtZfMbsixjTJtNaQfO,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0007,"\CD00085 גורי, חיים - גורי, חיים\2270.tif",1cOJGWkJe34Ksus91eD0J1NkJkolFFLKl,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2270.tif,"גורי, היים",,"דבר,53 תערי תטל""ד, (2.10.75)עכ' 2","חתחשובה לעמוס עוז
","937,105 1264,105 937,194 1264,194",,"406,596 1244,596 406,843 1244,843","565,253 986,253 565,339 986,339",TRUE,"גורי, היים תשובה לעמוס עוז ‏ [על טכתבו הבהול] דבר,53 תערי תטל""ד, (2.10.75)עכ' 2 ","גורי, ‏ חיים תשובה לעמוס עוז [על מכתבו הבהול] דבר,5 תשרי תשל""ד, (2.10.73)עמ* 2 "," [על טכתבו הבהול] דבר,53 תערי תטל""ד, (2.10.75)עכ' 2 "," [על מכתבו הבהול] דבר,5 תשרי תשל""ד, (2.10.73)עמ* 2 ",,https://drive.google.com/file/d/1cOJGWkJe34Ksus91eD0J1NkJkolFFLKl,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0008,"\CD00085 גורי, חיים - גורי, חיים\2258.tif",1wJHtBpeV8RuzHvJdkYgOdY7HcT4t5KZD,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2258.tif,"גורי, חייס",-ר*-- =,"היים אהל, שער לשירה הצקירה, ת""א תשל""ג, עם"" 53/48","גורי, חייס
-ר*-- =
","960,88 1196,88 960,152 1196,152","960,88 1196,88 960,152 1196,152","162,582 1168,582 162,650 1168,650","960,88 1196,88 960,152 1196,152",TRUE,"גורי, חייס וכ תפילב2 2 היים אהל, שער לסירה הצקירה, ת""א תשסל""ג, עמ"" 53/48 ","גורי, חיים : > תפילת כ חיים אהל, שער לשירה הצעירה, ת""א תשל""ג, עמ"" 53/48 "," לסירה הצקירה, ת""א תשסל""ג, עמ"" 53/48 "," לשירה הצעירה, ת""א תשל""ג, עמ"" 53/48 ",,https://drive.google.com/file/d/1wJHtBpeV8RuzHvJdkYgOdY7HcT4t5KZD,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM0009,"\CD00085 גורי, חיים - גורי, חיים\2255.tif",1Sfb3E21zsbFqhrP50vF-xrRz_-5CkKex,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2255.tif,"גורי, ח""ם",,"גורי, ח""ם","תלזמביב,
","774,103 1171,103 774,176 1171,176",,"774,103 1171,103 774,176 1171,176","587,527 841,527 587,592 841,592",TRUE,"גו רי, חיים על החומה רי* וחו מה , תל- שביב, מ טפ 19 , נ כמ .10 ","גורי, ח""ם תפלה ₪5 על החומה, תלדאביב, מרץ 1950, 9מ.10 ","מה רי* וחו מה , תל- שביב, מ טפ 19 , נ כמ .10 ","על החומה, תלדאביב, מרץ 1950, 9מ.10 ",,https://drive.google.com/file/d/1Sfb3E21zsbFqhrP50vF-xrRz_-5CkKex,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
IDGNAZIM00010,"\CD00085 גורי, חיים - גורי, חיים\2257.tif",1ue_PgSjq5bYLXN7GhGdnDl6XQ_VlAexJ,"\CD00085 גורי, חיים - גורי, חיים"," גורי, חיים",,,1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,2257.tif,"גורי,ן חייס",>=,"משמר לילדים, שנה י""ג, חוב ו3, 22.4.1958, עם"" 503","גורי,ן חייס
>=
","992,70 1229,70 992,135 1229,135","992,70 1229,70 992,135 1229,135","138,590 1141,590 138,658 1141,658","992,70 1229,70 992,135 1229,135",TRUE,"גורי, חייס הפילה ריר משמר לילדים, שנה י""ג, חוב ו3, 22.4.1958, עם"" 503 ","גור"", תיים תפילה רשיר-) משמר לילדים, שנה ל""ג, הוב 31, 22.4.1958, עם* 503 ","לדים, שנה י""ג, חוב ו3, 22.4.1958, עם"" 503 "," לילדים, שנה ל""ג, הוב 31, 22.4.1958, עם* 503 ",,https://drive.google.com/file/d/1ue_PgSjq5bYLXN7GhGdnDl6XQ_VlAexJ,https://drive.google.com/drive/folders/1c6Bz4okJqtRXoTqvR4BXBxN3h1o71KDT,0
